tc_id,uc_id,use_case,validation_class,tier,bucket,reason_code,rationale,test_case
TC-AEPS-03,UC-AEPS,Agentic Endpoint Security,PLT,EMERGING,buildable,BUILDABLE_BOTH,Cross-OS forensic collection: platform_variants already expresses the OS spread; an assertion reads collected-artifact presence per OS.,Validate endpoint investigation agent performs forensic collection and root-cause analysis across multi-vendor EDR estates
TC-AES-04,UC-AES,Advanced Email Security,PLT,PARITY,buildable,BUILDABLE_BOTH,email_emitter produces the BEC shape; assertion reads quarantine action on the incident. The 'notifies finance' leg is a notification channel and stays disclaimed.,"Demonstrate automated BEC response workflow quarantines message, alerts target, and notifies finance/legal within SLA"
TC-AES-09,UC-AES,Advanced Email Security,DET,PARITY,buildable,BUILDABLE_BOTH,The user-report event is emittable as an M365 audit record; assertion reads the analysis verdict written back.,Demonstrate user-reported phishing workflow with automated analysis and feedback loop to reduce repeat reporting of known-good emails
TC-AGTX-01,UC-AGTX,Agentic Automation (AgentiX),DET,PARITY,buildable,BUILDABLE_BOTH,"The multi-stage chain is SIM-MP-021's existing shape. '1,100+ integrations' is unprovable and must be disclaimed, not counted.","Validate AgentiX autonomously selects, chains, and executes multi-step playbooks across 1,100+ integrations based on incident context"
TC-AGTX-02,UC-AGTX,Agentic Automation (AgentiX),POS,PARITY,external,TENANT_CONFIG_NO_WRITE_PATH,Playbook versioning and rollback require authoring and then reverting a playbook — both writes.,"Demonstrate playbook versioning, rollback, and audit trail for governance compliance"
TC-AGTX-04,UC-AGTX,Agentic Automation (AgentiX),DET,PARITY,buildable,BUILDABLE_BOTH,Seed IOCs via the TIM fixture; assertion reads enrichment fields attached to the resulting incident.,"Demonstrate Threat Intelligence Agent auto-enriches IOCs with multi-source TI, related campaigns, and adversary TTP mapping"
TC-AGTX-05,UC-AGTX,Agentic Automation (AgentiX),DET,PARITY,buildable,BUILDABLE_BOTH,A multi-plane scenario supplies the arc; assertion counts distinct response-action domains on one incident.,"Validate AgentiX coordinates response actions across endpoint, network, identity, cloud, and email domains in a single automated workflow"
TC-AGTX-06,UC-AGTX,Agentic Automation (AgentiX),DET,PARITY,external,EXTERNAL_THIRD_PARTY_SYSTEM,"The row demands forensics across 'XDR, CrowdStrike and Defender'. SIM-MP-021 already refuses this exact binding — the engine cannot emit competitor EDR telemetry.",Demonstrate Endpoint Investigation Agent delivers rapid forensics collection and containment across multi-vendor EDR environments
TC-AGTX-09,UC-AGTX,Agentic Automation (AgentiX),DET,PARITY,external,CONSOLE_ONLY_NO_READ_API,Natural-language investigation is a Copilot UX. The answer's usefulness is not machine-knowable.,"Validate natural language investigation assistant enables analysts to query across data lake, build timelines, and generate reports conversa"
TC-AGTX-10,UC-AGTX,Agentic Automation (AgentiX),DET,PARITY,external,CONSOLE_ONLY_NO_READ_API,'Copilot assists junior analysts to senior-level' is a human-outcome claim with no queryable artifact.,Demonstrate Copilot assists junior analysts in performing senior-level investigations by providing guided investigation workflows and contex
TC-AGTX-12,UC-AGTX,Agentic Automation (AgentiX),DET,PARITY,external,TENANT_CONFIG_NO_WRITE_PATH,"Building a custom agent is authoring, which is a write.",Demonstrate extensible agent framework allows customers to build custom security agents using AgentiX SDK and existing playbook library
TC-AIRS-02,UC-AIRS,AI Runtime Security (Prisma AIRS),POS,PARITY,buildable,BUILDABLE_ASSERTION,AI SBOM completeness reads from ai_spm_findings; the POS-AISP pack is the precedent.,"Demonstrate AI Software Bill of Materials (AI SBOM) generation providing complete model provenance including architecture, training data, li"
TC-AIRS-03,UC-AIRS,AI Runtime Security (Prisma AIRS),POS,PARITY,buildable,BUILDABLE_BOTH,llm_provider_egress + agentic_egress produce sanctioned and shadow AI traffic; assertion distinct-counts discovered services.,Validate discovery and inventory of all AI agents in use—sanctioned and shadow—across the enterprise environment
TC-AIRS-04,UC-AIRS,AI Runtime Security (Prisma AIRS),POS,PARITY,external,TENANT_CONFIG_NO_WRITE_PATH,Governance policy enforcement requires authoring the policy first.,Demonstrate AI governance policy enforcement prevents non-compliant AI agents from accessing sensitive data or executing privileged actions
TC-AIRS-05,UC-AIRS,AI Runtime Security (Prisma AIRS),POS,PARITY,external,LICENSED_MODULE_REQUIRED,"'Continuous autonomous red teaming, 500+ attack types' is the product performing its own testing. cortex-prompt-attacker proves the target is attackable, not that AIRS ran 500 types.",Validate continuous autonomous red teaming with 500+ attack types identifies AI-specific vulnerabilities in production models and agents
TC-AIRS-06,UC-AIRS,AI Runtime Security (Prisma AIRS),POS,PARITY,external,EXTERNAL_THIRD_PARTY_SYSTEM,Needs the customer's CI/CD pipeline as the integration surface.,Demonstrate AI red team integration with CI/CD pipeline provides automated security validation before model deployment
TC-AIRS-09,UC-AIRS,AI Runtime Security (Prisma AIRS),POS,PARITY,buildable,BUILDABLE_ASSERTION,Training-pipeline exposure is a posture read over ai_spm_findings; POS-AISP-005 is the precedent.,"Validate protection of AI training data pipelines against data poisoning, unauthorized access, and supply chain compromise"
TC-AIRS-10,UC-AIRS,AI Runtime Security (Prisma AIRS),POS,PARITY,buildable,BUILDABLE_BOTH,cortex-vulnerable-llm carries a RAG surface; the airs_prompt_attack plugin drives it and an assertion reads the leak verdict.,Demonstrate RAG (Retrieval Augmented Generation) knowledge base security prevents sensitive data leakage and unauthorized document access
TC-APB-01,UC-APB,Autonomous Playbooks (AgentiX),AUT,MOAT,buildable,BUILDABLE_BOTH,Out-of-branch input handling; AUT-APB-002 (low-confidence graceful degradation) is the direct precedent.,Validate an AI-embedded playbook adapts to an input the deterministic path cannot handle
TC-APB-03,UC-APB,Autonomous Playbooks (AgentiX),AUT,MOAT,external,CONSOLE_ONLY_NO_READ_API,"Judging whether a generated playbook is 'working' from a prose prompt is not machine-knowable, and building it is a write.",Validate the Automation Engineer agent builds a working playbook from a natural-language prompt
TC-APB-04,UC-APB,Autonomous Playbooks (AgentiX),AUT,LEAD,external,EXTERNAL_THIRD_PARTY_SYSTEM,Requires deliberately breaking a live integration's response schema — a third-party system the engine does not own.,Demonstrate playbook maintenance — agent repairs a workflow broken by an API change
TC-APB-07,UC-APB,Autonomous Playbooks (AgentiX),PLT,MOAT,external,CONSOLE_ONLY_NO_READ_API,'Analyst-grade case summary' is a quality judgement on generated prose.,Validate the Case Investigation agent produces an analyst-grade case summary and next steps
TC-APB-08,UC-APB,Autonomous Playbooks (AgentiX),PLT,MOAT,buildable,BUILDABLE_ASSERTION,Autonomous close under an approval gate is an xsiam_incidents latency + gate-presence read.,Demonstrate end-to-end autonomous close of a routine incident class under approval gate
TC-APB-09,UC-APB,Autonomous Playbooks (AgentiX),PLT,MOAT,external,EXTERNAL_THIRD_PARTY_SYSTEM,Needs a customer-representative internal tool behind an MCP endpoint.,Validate MCP-native integration of a customer tool with no prebuilt connector
TC-APB-10,UC-APB,Autonomous Playbooks (AgentiX),DET,LEAD,external,EXTERNAL_THIRD_PARTY_SYSTEM,SOC-to-ITSM orchestration requires the ITSM.,Demonstrate agent orchestration across SOC and IT tooling in one workflow
TC-ASM-02,UC-ASM,Attack Surface & Exposure Management,POS,MOAT,buildable,BUILDABLE_BOTH,The asm IaC module plants the exposure; assertion reads whether a remediation workflow fired against it.,Demonstrate external scan results trigger automated remediation workflows
TC-ASM-04,UC-ASM,Attack Surface & Exposure Management,POS,MOAT,buildable,BUILDABLE_BOTH,asm + tim modules together: discovered surface plus scheduled intel search over it.,Demonstrate TI management scheduled searches against discovered attack surface
TC-BYOML-01,UC-BYOML,Advanced Analytics & BYOML,DET,MOAT,external,TENANT_CONFIG_NO_WRITE_PATH,Deploying a custom ML model into the tenant is a write action.,Validate BYOML model deployment for custom anomaly detection on customer-specific data
TC-CDR-04,UC-CDR,Cloud Detection & Response,POS,LEAD,external,INDEX_ROW_SELF_CONTRADICTORY,"Title says CIEM over-permissioned-identity discovery; success_criteria are verbatim TC-ITDR-03/06's multi-IdP correlation claim. The cspm module does plant the IAM findings the TITLE wants, but an assertion measuring them would satisfy a row whose criteria ask about something else.",Validate CIEM identifies over-permissioned cloud identities and recommends least-privilege
TC-CDR-05,UC-CDR,Cloud Detection & Response,POS,LEAD,external,LICENSED_MODULE_REQUIRED,Agentless scanning is a licensed Cortex Cloud capability the engine cannot enable or detect.,Demonstrate agentless scanning and protection for workloads where agent deployment is infeasible
TC-DLP-03,UC-DLP,Data Loss Prevention (DLP),DET,PARITY,external,TENANT_CONFIG_NO_WRITE_PATH,"DLP policy creation is a write; only enforcement is observable, and enforcement without the authored policy proves nothing.","Validate DLP policy creation and enforcement across endpoint, network, and SaaS data channels from unified console"
TC-DLP-06,UC-DLP,Data Loss Prevention (DLP),DET,PARITY,buildable,BUILDABLE_BOTH,DLP signal plus identity activity under one principal; assertion reads whether both appear on one insider-risk timeline.,Demonstrate DLP integration with UEBA provides enriched insider risk timeline for investigation
