priority,tc_id,ucs_id,uc_id,use_case,test_case_title,validation_class,detection_id,detection_type,target_dataset,pov_scenario_id,mitre_techniques,base_platform,required_addon,authoring_gap
P1,TC-APB-06,UCS-APB-03,UC-APB,Autonomous Playbooks (AgentiX),Demonstrate full auditability — every autonomous action reconstructs to its reasoning and approver,DET,DET-APB-01,BIOC,xdr_data,POV-SC-088,TBD,Cortex XSIAM,Extended Compute Units,NO MITRE MAPPING
P1,TC-BYOML-01,UCS-BYOML-01,UC-BYOML,Advanced Analytics & BYOML,Validate BYOML model deployment for custom anomaly detection on customer-specific data,DET,DET-BYOML-01,Analytics BIOC,xdr_data,POV-SC-027,TBD,Cortex XSIAM,Data Ingestion — Analytics tier · Extended Compute Units,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-BYOML-02,UCS-BYOML-01,UC-BYOML,Advanced Analytics & BYOML,Demonstrate datamodel customization for industry-specific correlation rules,DET,DET-BYOML-02,Correlation Rule (XQL),xdr_data,POV-SC-027,TBD,Cortex XSIAM,Data Ingestion — Analytics tier · Extended Compute Units,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-CITH-07,UCS-CITH-07,UC-CITH,Accelerated Investigations & Threat Hunting,Demonstrate AI-Powered Alert Stitching — alert-to-incident ratio demonstrates >80% noise reduction,DET,DET-CITH-04,Cloud Posture Policy (custom),incidents,POV-SC-004,TBD,Cortex Cloud · Cortex XSIAM,Cloud Runtime Security · Forensics · Extended Threat Hunting,GENERIC SCENARIO (shared by 12 TCs) — needs purpose-built payload · NO MITRE MAPPING
P1,TC-IACS-01,UCS-IACS-01,UC-IACS,Infrastructure-as-Code Scanning,"Validate IaC Misconfiguration Detection — Known misconfigurations detected across Terraform, CloudFormation, Pulumi, ARM, and Kubernetes manifests",DET,DET-IACS-01,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-002,TBD,Cortex Cloud,Application Security,GENERIC SCENARIO (shared by 14 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-IR-01,UCS-IR-01,UC-IR,Incident Response,Validate auto-triage reduces manual alert review by >60% using smart scoring and grouping,DET,DET-IR-01,BIOC,incidents,POV-SC-006,T1021 T1059,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,GENERIC SCENARIO (shared by 8 TCs) — needs purpose-built payload
P1,TC-IR-02,UCS-IR-01,UC-IR,Incident Response,Demonstrate issue grouping consolidates related alerts into unified incidents,DET,DET-IR-02,BIOC,xdr_data,POV-SC-006,T1021 T1059,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,GENERIC SCENARIO (shared by 8 TCs) — needs purpose-built payload
P1,TC-IR-03,UCS-IR-01,UC-IR,Incident Response,Validate case scoring prioritization against simulated alert volume (1000+ alerts/day),DET,DET-IR-03,BIOC,xdr_data,POV-SC-038,TBD,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-IR-05,UCS-IR-02,UC-IR,Incident Response,Demonstrate correlation-based detections across endpoint + network + identity telemetry,DET,DET-IR-05,Correlation Rule (XQL),xdr_data,POV-SC-001,T1021 T1059 T1078 T1566,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,GENERIC SCENARIO (shared by 21 TCs) — needs purpose-built payload · NO MEASURABLE THRESHOLD
P1,TC-IR-13,UCS-IR-04,UC-IR,Incident Response,Demonstrate issue grouping stitches alerts across disparate sources into single incident,DET,DET-IR-07,Correlation Rule (XQL),xdr_data,POV-SC-006,T1021 T1059,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,GENERIC SCENARIO (shared by 8 TCs) — needs purpose-built payload
