validation_class,tc_id,ucs_id,uc_id,use_case,scenario,test_case_title,tc_sheet,differentiation_tier,moat_classification,priority,detection_id,detection_type,target_dataset,pov_scenario_id,pov_scenario_payload,mitre_techniques,expected_signal,primary_kpi,threshold,detection_source,base_platform,required_addon,content_status,authoring_gap
DET,TC-IR-01,UCS-IR-01,UC-IR,Incident Response,Analyst Fatigue / Alert Overload,Validate auto-triage reduces manual alert review by >60% using smart scoring and grouping,SecOps,MOAT,AI-Native,P1,DET-IR-01,BIOC,incidents,POV-SC-006,"Inject synthetic alert volume (500–1,000 alerts mixing Atomic Red Team T1059 / T1021 with benign noise)",T1021 T1059,Auto-triage correctly classifies >60% of test alert volume,Triage Automation Rate,>60%,XSIAM Incidents (XQL: dataset=incidents),Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,TO AUTHOR,GENERIC SCENARIO (shared by 8 TCs) — needs purpose-built payload
DET,TC-IR-02,UCS-IR-01,UC-IR,Incident Response,Analyst Fatigue / Alert Overload,Demonstrate issue grouping consolidates related alerts into unified incidents,SecOps,MOAT,AI-Native,P1,DET-IR-02,BIOC,xdr_data,POV-SC-006,"Inject synthetic alert volume (500–1,000 alerts mixing Atomic Red Team T1059 / T1021 with benign noise)",T1021 T1059,Related alerts from multiple sources group into unified incidents,Detection Accuracy,>80%,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,TO AUTHOR,GENERIC SCENARIO (shared by 8 TCs) — needs purpose-built payload
DET,TC-IR-03,UCS-IR-01,UC-IR,Incident Response,Analyst Fatigue / Alert Overload,Validate case scoring prioritization against simulated alert volume (1000+ alerts/day),SecOps,MOAT,AI-Native,P1,DET-IR-03,BIOC,xdr_data,POV-SC-038,Execute scenario-specific simulation for Analyst Fatigue / Alert Overload,TBD,SmartScore correctly ranks critical threats above low-risk noise,Detection Accuracy,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-IR-04,UCS-IR-02,UC-IR,Incident Response,Detection Delays / Missed Threats,Validate analytics detection rules trigger on simulated lateral movement patterns,SecOps,PARITY,Table Stakes,P3,DET-IR-04,Analytics BIOC,xdr_data,POV-SC-039,Execute scenario-specific simulation for Detection Delays / Missed Threats,TBD,Lateral movement patterns detected early in attack chain,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-IR-05,UCS-IR-02,UC-IR,Incident Response,Detection Delays / Missed Threats,Demonstrate correlation-based detections across endpoint + network + identity telemetry,SecOps,MOAT,Platform,P1,DET-IR-05,Correlation Rule (XQL),xdr_data,POV-SC-001,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),T1021 T1059 T1078 T1566,Correlation-based detections across endpoint + network produce unified alerts,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,TO AUTHOR,GENERIC SCENARIO (shared by 21 TCs) — needs purpose-built payload · NO MEASURABLE THRESHOLD
PLT,TC-IR-06,UCS-IR-03,UC-IR,Incident Response,Slow Time to Resolution,Validate malware auto-containment isolates compromised endpoint within SLA threshold,SecOps,PARITY,Table Stakes,P3,,Platform-state assertion (no detection content),,POV-SC-040,Execute scenario-specific simulation for Slow Time to Resolution,TBD,Known malware families detected across all test methods,False Positive Rate,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,"N/A — assertion, not detection",NO MEASURABLE THRESHOLD
DET,TC-IR-07,UCS-IR-03,UC-IR,Incident Response,Slow Time to Resolution,Demonstrate automated eradication and recovery playbook execution end-to-end,SecOps,PARITY,Table Stakes,P3,DET-IR-06,BIOC,xdr_data,POV-SC-005,Trigger incident matching automated playbook conditions; measure playbook completion,TBD,Playbooks automate top 5 incident types correctly,Automation Rate,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,TO AUTHOR,GENERIC SCENARIO (shared by 10 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
PLT,TC-IR-08,UCS-IR-04,UC-IR,Incident Response,Disconnected Data Sources / Visibility Gaps,Validate ingestion and normalization of 3+ heterogeneous data sources via Broker VM,SecOps,MOAT,Platform,P1,,Platform-state assertion (no detection content),,POV-SC-041,Execute scenario-specific simulation for Disconnected Data Sources / Visibility Gaps,TBD,Heterogeneous data sources ingest and normalize into unified data model,Detection Accuracy,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,"N/A — assertion, not detection",NO MEASURABLE THRESHOLD
DET,TC-IR-13,UCS-IR-04,UC-IR,Incident Response,Disconnected Data Sources / Visibility Gaps,Demonstrate issue grouping stitches alerts across disparate sources into single incident,SecOps,MOAT,AI-Native,P1,DET-IR-07,Correlation Rule (XQL),xdr_data,POV-SC-006,"Inject synthetic alert volume (500–1,000 alerts mixing Atomic Red Team T1059 / T1021 with benign noise)",T1021 T1059,Related alerts from multiple sources group into unified incidents,Detection Accuracy,>80%,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,TO AUTHOR,GENERIC SCENARIO (shared by 8 TCs) — needs purpose-built payload
DET,TC-IR-09,UCS-IR-05,UC-IR,Incident Response,Poor Prioritization / Risk Misalignment,Validate asset risk scoring adjusts incident priority based on asset criticality,SecOps,PARITY,Table Stakes,P3,DET-IR-08,BIOC,xdr_data,POV-SC-017,Execute scenario-specific simulation for Poor Prioritization / Risk Misalignment,TBD,Risk scores consistent and explainable across entity types,Automation Rate,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
