TC ID,UC ID,Family,Plane,Scenario dir,Moat Class,Tier,Primary KPI,Threshold,Detection Source,Test Case
TC-IR-01,UC-IR,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,AI-Native,MOAT,Triage Automation Rate,>60%,XSIAM Incidents (XQL: dataset=incidents),Validate auto-triage reduces manual alert review by >60% using smart scoring and grouping
TC-IR-02,UC-IR,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,AI-Native,MOAT,Detection Accuracy,>80%,XSIAM UI + XQL,Demonstrate issue grouping consolidates related alerts into unified incidents
TC-IR-03,UC-IR,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,AI-Native,MOAT,Detection Accuracy,Qualitative pass,XSIAM UI + XQL,Validate case scoring prioritization against simulated alert volume (1000+ alerts/day)
TC-IR-04,UC-IR,F2-CausalityStitching,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,Validate analytics detection rules trigger on simulated lateral movement patterns
TC-IR-05,UC-IR,F2-CausalityStitching,ANALYTICS,scenarios/multi_plane/,Platform,MOAT,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,Demonstrate correlation-based detections across endpoint + network + identity telemetry
TC-IR-06,UC-IR,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,False Positive Rate,Qualitative pass,XSIAM UI + XQL,Validate malware auto-containment isolates compromised endpoint within SLA threshold
TC-IR-07,UC-IR,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Automation Rate,Qualitative pass,XSIAM UI + XQL,Demonstrate automated eradication and recovery playbook execution end-to-end
TC-IR-08,UC-IR,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Platform,MOAT,Detection Accuracy,Qualitative pass,XSIAM UI + XQL,Validate ingestion and normalization of 3+ heterogeneous data sources via Broker VM
TC-IR-02,UC-IR,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,AI-Native,MOAT,Detection Accuracy,>80%,XSIAM UI + XQL,Demonstrate issue grouping stitches alerts across disparate sources into single incident
TC-IR-09,UC-IR,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Automation Rate,Qualitative pass,XSIAM UI + XQL,Validate asset risk scoring adjusts incident priority based on asset criticality
TC-IR-10,UC-IR,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,MTTD,Qualitative pass,XSIAM UI + XQL,Demonstrate case starring and auto-prioritization workflow for VIP assets
TC-IR-11,UC-IR,F4-PostureCompliance,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Coverage %,Qualitative pass,XSIAM UI + XQL,Validate auto-enrichment populates incident context without analyst action
TC-IR-12,UC-IR,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Detection Accuracy,Qualitative pass,XSIAM UI + XQL,Demonstrate incident synthesis generates executive summary from correlated alert data
TC-TH-01,UC-TH,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Platform,MOAT,Detection Accuracy,Qualitative pass,XQL query engine (/public_api/v1/xql/start_xql_query),Validate XQL query execution for hypothesis-driven hunting across full data lake
TC-TH-02,UC-TH,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Automation Rate,Qualitative pass,XSIAM UI + XQL,Demonstrate automated hunting via scheduled correlation searches with IOC feeds
TC-TH-03,UC-TH,F2-CausalityStitching,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,"Validate XDR dataset ingestion of non-security sources (HR, asset mgmt, cloud logs)"
TC-TH-04,UC-TH,F8-IntegrationIngestion,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Completeness %,Qualitative pass,XSIAM UI + XQL,Demonstrate Security-First Marketplace dataset onboarding for expanded telemetry
TC-TH-05,UC-TH,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,AI-Native,PARITY,MTTD,Qualitative pass,XSIAM UI + XQL,Validate analytics engine and smart scoring reduce false positives in hunt results by >50%
TC-TH-06,UC-TH,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,MTTD,Qualitative pass,XSIAM UI + XQL,Validate TI management with scheduled IOC searches and Unit 42 feed integration
TC-TH-07,UC-TH,F8-IntegrationIngestion,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Completeness %,Qualitative pass,XSIAM UI + XQL,Demonstrate forensics investigation and collection within hunting workflow
TC-EDR-01,UC-EDR,F6-ResponseTiming,EDR,scenarios/edr/,Table Stakes,PARITY,SLA Compliance,Qualitative pass,XSIAM UI + XQL,Validate unified endpoint policy creation across protection profiles (granular process-level)
TC-EDR-02,UC-EDR,F6-ResponseTiming,EDR,scenarios/edr/,Table Stakes,PARITY,SLA Compliance,Qualitative pass,XSIAM UI + XQL,Demonstrate asset-level policy assignment with granular protection profiles
TC-EDR-03,UC-EDR,F1-SignalInjection,EDR,scenarios/edr/,Table Stakes,PARITY,False Positive Rate,Qualitative pass,XSIAM UI + XQL,"Validate multi-method malware detection (local sandbox, behavioral, static analysis)"
TC-EDR-04,UC-EDR,F1-SignalInjection,EDR,scenarios/edr/,Table Stakes,PARITY,False Positive Rate,Qualitative pass,XSIAM UI + XQL,Demonstrate auto-containment triggers on confirmed malware execution
