pov_scenario_id,scenario_payload,bound_tc_count,bound_detection_count,bound_tc_ids,mitre_techniques,reuse_flag
POV-SC-001,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),21,14,TC-IR-05 TC-ITDR-03 TC-ITDR-06 TC-ERV-03 TC-ASM-03 TC-ASM-04 TC-CDR-02 TC-CDR-04 TC-DLP-02 TC-DLP-03 TC-DLP-08 TC-DLP-11 TC-AES-01 TC-AES-02 TC-AGTX-01 TC-AGTX-05 TC-AGTX-09 TC-XDL-01 TC-XDL-05 TC-XDL-06 TC-XDL-08,T1021 T1059 T1078 T1566,SPLIT REQUIRED
POV-SC-002,"Execute container/K8s attack (shell spawn, crypto-miner, reverse shell) via attack simulation (e.g., Stratus)",14,12,TC-CIEM-03 TC-DSPM-04 TC-CITH-02 TC-CITH-03 TC-CITH-04 TC-CITH-11 TC-CITH-13 TC-WAAS-03 TC-WAAS-04 TC-IACS-01 TC-SSCAN-01 TC-SSCAN-02 TC-CC2-05 TC-CC2-06,TBD,SPLIT REQUIRED
POV-SC-003,"Provision 50+ net-new assets via Terraform across AWS/Azure/GCP (compute, storage, network, IAM)",12,0,TC-CSPM-01 TC-CRPS-03 TC-KSPM-01 TC-ASM-05 TC-DSPM-01 TC-AISP-01 TC-SCS-01 TC-SCS-03 TC-RSER-06 TC-WAAS-01 TC-ASER-01 TC-CC2-01,TBD,SPLIT REQUIRED
POV-SC-004,Deploy SageMaker endpoint + Bedrock invocation + Lambda→OpenAI + shadow GPU VM with custom LLM,12,1,TC-AISP-02 TC-AISP-03 TC-AISP-04 TC-AISP-05 TC-AISP-06 TC-SCS-04 TC-SCS-05 TC-CITH-07 TC-CITH-19 TC-ASER-02 TC-PGE-06 TC-CC2-04,TBD,SPLIT REQUIRED
POV-SC-005,Trigger incident matching automated playbook conditions; measure playbook completion,10,9,TC-IR-07 TC-TH-02 TC-SOAR-01 TC-SOAR-02 TC-SOAR-03 TC-DLP-04 TC-DLP-10 TC-AES-09 TC-AGTX-02 TC-AGTX-12,TBD,SPLIT REQUIRED
POV-SC-006,"Inject synthetic alert volume (500–1,000 alerts mixing Atomic Red Team T1059 / T1021 with benign noise)",8,8,TC-IR-01 TC-IR-02 TC-IR-13 TC-SOT-02 TC-DLP-06 TC-AES-08 TC-AGTX-03 TC-AGTX-06,T1021 T1059,SPLIT REQUIRED
POV-SC-007,"Deploy test fixtures with intentional misconfigurations (open SGs, public buckets, over-permissive IAM)",7,0,TC-CSPM-02 TC-CCMP-01 TC-CCMP-02 TC-CCMP-03 TC-CCMP-04 TC-SCS-02 TC-ASER-03,TBD,review
POV-SC-008,"Execute network-based attack (beaconing, DNS tunneling, lateral movement via SMB/RDP)",6,5,TC-NDR-01 TC-NDR-02 TC-NDR-03 TC-NDR-04 TC-NDR-05 TC-NDR-06,TBD,review
POV-SC-009,"Commit intentionally vulnerable code (SQLi, OSS with CVE) → build image → deploy to test namespace",6,0,TC-ASPM-01 TC-SCA-04 TC-ASPM-03 TC-ASPM-04 TC-AGRP-03 TC-ASPMC-01,TBD,review
POV-SC-010,"Upload representative sensitive data (PII, PCI, PHI) to S3/GCS/Azure Blob with mixed access controls",5,0,TC-DSPM-02 TC-DSPM-03 TC-CITH-08 TC-PGE-02 TC-CC2-03,TBD,review
POV-SC-011,"Simulate credential abuse (token replay, impossible travel, privilege escalation via Atomic T1078.004)",4,3,TC-ITDR-01 TC-ITDR-02 TC-ITDR-04 TC-ITDR-05,T1078.004,review
POV-SC-012,"Deploy workloads with known CVEs (e.g., Log4Shell container, unpatched RDS); seed vulnerability intel",4,2,TC-CVM-01 TC-CVM-02 TC-SCA-01 TC-SCA-02,TBD,review
POV-SC-013,"Pre-seeded hunt dataset with 20–30 known IOCs across credential access, persistence, exfiltration",3,2,TC-TH-01 TC-MTH-01 TC-XDL-04,TBD,ok
POV-SC-014,TBD — DC authoring,3,0,TC-AEPS-01 TC-AEPS-02 TC-AEPS-03,TBD,ok
POV-SC-015,Create test IAM roles with over-permissive policies; simulate privilege escalation path,3,0,TC-CIEM-01 TC-CIEM-02 TC-CIEM-04,TBD,ok
POV-SC-016,"Commit hardcoded AWS keys, API tokens, and DB passwords to test repo (in feature branch + main)",3,0,TC-SSCAN-03 TC-SSCAN-04 TC-SSCAN-05,TBD,ok
POV-SC-017,Execute scenario-specific simulation for Poor Prioritization / Risk Misalignment,2,2,TC-IR-09 TC-IR-10,TBD,ok
POV-SC-018,Execute scenario-specific simulation for Repetitive Manual Workflows,2,2,TC-IR-11 TC-IR-12,TBD,ok
POV-SC-019,Execute scenario-specific simulation for Disconnected Non-Security Data,2,1,TC-TH-03 TC-TH-04,TBD,ok
POV-SC-020,Execute scenario-specific simulation for Siloed EDR Policy Management,2,2,TC-EDR-01 TC-EDR-02,TBD,ok
