uc_id,use_case,fy27_subdomain,current_products,current_addon,base_platform,addon,addon_skus,adjacent,min_license_path,bundle_alternative,rationale
UC-BYOML,Advanced Analytics & BYOML,SOC Transformation,XSIAM,Compute Units,Cortex XSIAM,Data Ingestion — GB/day · Compute Units,PAN-XSIAM-BASE-GB · PAN-XSIAM-COMP-UNT,—,XSIAM NG-SIEM,any tier,BYOML/datamodel work is analytics-tier + compute bound; no security add-on gates it.
UC-CDR,Cloud Detection & Response,Cloud Security,"XSIAM, Cortex Cloud, Cortex XDR",Cloud,Cortex XSIAM · Cortex Cloud,Cloud Runtime · Endpoint Protection,PAN-XSIAM-ADV-EP-CLOUD-CRS · PAN-XSIAM-ADV-EP,—,XSIAM NG-SIEM + Cloud Runtime + Endpoint Protection,XSIAM Premium + Cloud Runtime,"Runtime, not posture — CDR requires Cloud Runtime Security, not Cloud Posture."
UC-EDR,Endpoint Detection & Response,Endpoint Protection,"Cortex XDR, XSIAM","Agentic Endpoint Security, Host Insights, Forensics",Cortex XDR · Cortex XSIAM,Endpoint Protection · Host Insights · Forensics · Agentic Endpoint Security (AES) ⚠,PAN-XSIAM-ADV-EP · PAN-XSIAM-HOST-INST · PAN-XSIAM-FRNS · — NO SKU IN PRICE BOOK,—,XSIAM NG-SIEM + Agentic Endpoint Security (AES) ⚠ + Endpoint Protection + Forensics + Host Insights,XSIAM Premium + Agentic Endpoint Security (AES) ⚠ + Forensics + Host Insights,AES packaging UNCONFIRMED in public license tables — carried but flagged.
UC-IR,Incident Response,SOC Transformation,"XSIAM, Cortex XDR","Forensics, Compute Units",Cortex XSIAM · Cortex XDR,Forensics · Compute Units,PAN-XSIAM-FRNS · PAN-XSIAM-COMP-UNT,—,XSIAM NG-SIEM + Forensics,XSIAM Premium + Forensics,Forensics is an add-on at EVERY XSIAM tier incl. Premium.
UC-ITDR,Identity Threat Detection & Response,Identity Security,"XSIAM, Cortex XDR",—,Cortex XSIAM · Cortex XDR,ITDR · Endpoint Protection,PAN-XSIAM-ITDR · PAN-XSIAM-ADV-EP,—,XSIAM NG-SIEM + Endpoint Protection + ITDR,XSIAM Premium + ITDR,Was blank ('—'). ITDR is a real add-on at every tier — this was the largest single miss.
UC-NDR,Network Detection & Response,SOC Transformation,"XSIAM, Cortex XDR, NGFW",—,Cortex XSIAM,Data Ingestion — GB/day,PAN-XSIAM-BASE-GB,PAN-OS NGFW,XSIAM NG-SIEM,any tier,"NGFW is an adjacent telemetry source, not a Cortex SKU. Was blank."
UC-TH,Threat Hunting,SOC Transformation,"XSIAM, Cortex XDR",XTH,Cortex XSIAM · Cortex XDR,XTH,PAN-XSIAM-XTH,—,XSIAM NG-SIEM + XTH,XSIAM Premium + XTH,XTH included at Enterprise+; add-on only on NG-SIEM.
UC-ASM,Attack Surface & Exposure Management,Attack Surface & Exposure Management,"XSIAM, Xpanse, Cortex Cloud","ASM / EM, Cloud",Cortex XSIAM · Cortex Cloud,ASM · EM · Cloud Posture,PAN-XSIAM-ASM · PAN-XSIAM-EM · PAN-XSIAM-CLOUD-POSTURE,Cortex Xpanse,XSIAM NG-SIEM + ASM + Cloud Posture + EM,XSIAM Premium + Cloud Posture + EM,'ASM / EM' split — two separate add-ons with different tier inclusion.
UC-ERV,Enterprise Risk Visibility,Attack Surface & Exposure Management,"XSIAM, Cortex XDR, Cortex Cloud, Xpanse","ASM / EM, Cloud",Cortex XSIAM · Cortex XDR · Cortex Cloud,EM · ASM · Cloud Posture · Host Insights,PAN-XSIAM-EM · PAN-XSIAM-ASM · PAN-XSIAM-CLOUD-POSTURE · PAN-XSIAM-HOST-INST,Cortex Xpanse,XSIAM NG-SIEM + ASM + Cloud Posture + EM + Host Insights,XSIAM Premium + Cloud Posture + EM + Host Insights,Enterprise risk view spans EM + ASM + posture + host vuln.
UC-SIEM,Log Management & Compliance,SOC Transformation,XSIAM,Host Insights,Cortex XSIAM,Data Lake Ingestion — GB/day · Retention · GB Forwarding,PAN-XSIAM-BASE-GB-LAKE · PAN-XSIAM-DATASET-RTN · PAN-XSIAM-GB-FRWRD,—,XSIAM NG-SIEM,any tier,Host Insights was wrong here — log mgmt/compliance is a data-tier and retention motion.
