tc_id,uc_id,ucs_id,use_case,scenario,title,primary_kpi,threshold,detection_source,scenario_id,rationale
TC-AIACC-01,UC-AIACC,UCS-AIACC-01,AI Access Security,Sensitive Data Egress to Public AI,Validate detection of source code and sensitive data pasted into public AI providers,Detection Accuracy,>90%,XSIAM (XQL: dataset=panw_ngfw_traffic_raw),SIM-AIACC-001,AI Access Security brokers egress to AI providers; UC-DLP gates on the Endpoint DLP SKU.
TC-AIACC-02,UC-AIACC,UCS-AIACC-01,AI Access Security,Secret Egress to AI Provider,Validate detection of credentials and API keys transmitted to an AI provider endpoint,Detection Accuracy,>90%,XSIAM (XQL: dataset=panw_ngfw_traffic_raw),SIM-AIACC-002,Secret-in-prompt is distinct from file-based secret scanning (TC-SSCAN-01).
TC-AIACC-03,UC-AIACC,UCS-AIACC-02,AI Access Security,Anomalous AI Consumption,Demonstrate behavioral detection of anomalous AI usage volume against a learned user baseline,Detection Accuracy,>80%,XSIAM (XQL: dataset=panw_ngfw_traffic_raw),SIM-AIACC-003,Per-user AI consumption baselining has no analogue in UC-DLP.
TC-AIACC-04,UC-AIACC,UCS-AIACC-02,AI Access Security,Jailbreak Fingerprinting at Egress,Validate jailbreak and prompt-attack fingerprinting on the AI egress path,Detection Accuracy,>85%,XSIAM (XQL: dataset=panw_ngfw_traffic_raw),SIM-AIACC-004,TC-AIRS-07 detects at the model; this detects at the network broker.
TC-AIACC-05,UC-AIACC,UCS-AIACC-02,AI Access Security,Provider Rotation Evasion,Demonstrate detection of cross-provider rotation used to evade single-provider policy,Detection Accuracy,>80%,XSIAM (XQL: dataset=panw_ngfw_traffic_raw),SIM-AIACC-005,Evasion by rotation is only visible across providers.
TC-BRWS-01,UC-BROWSER,UCS-BROWSER-01,Enterprise Browser Security,Browser Credential Exposure,Validate detection of credential entry or paste into an untrusted web origin,Detection Accuracy,>90%,Prisma Browser telemetry,SIM-BROWSER-001,Prisma Browser is a distinct SKU from Endpoint DLP; in-page context is browser-only.
TC-BRWS-02,UC-BROWSER,UCS-BROWSER-01,Enterprise Browser Security,Browser-Delivered Payload,Validate detection of drive-by download and phishing-page payload delivery in-browser,Detection Accuracy,>90%,Prisma Browser telemetry,SIM-BROWSER-002,TC-AES-06 covers the mail-delivered link; this covers direct browsing.
TC-BRWS-03,UC-BROWSER,UCS-BROWSER-02,Enterprise Browser Security,Risky Extension Governance,Validate detection of sideloaded or over-permissioned browser extensions,Detection Accuracy,>90%,Prisma Browser telemetry,SIM-BROWSER-003,Extension permission risk has no index test case.
TC-BRWS-04,UC-BROWSER,UCS-BROWSER-02,Enterprise Browser Security,Cross-Origin Data Movement,Demonstrate control of copy-paste and upload between sanctioned and unsanctioned SaaS origins,Detection Accuracy,>85%,Prisma Browser telemetry,SIM-BROWSER-004,Origin-to-origin movement is invisible to endpoint DLP.
TC-BRWS-05,UC-BROWSER,UCS-BROWSER-02,Enterprise Browser Security,Screen-Capture Control,Validate detection and control of screen capture over a sensitive SaaS page,Detection Accuracy,>85%,Prisma Browser telemetry,SIM-BROWSER-005,Screen capture is a browser-enforced control with no index analogue.
TC-BRWS-06,UC-BROWSER,UCS-BROWSER-03,Enterprise Browser Security,Agentic Browsing Risk,Validate detection of indirect prompt injection served to a browsing AI agent,Detection Accuracy,>85%,Prisma Browser telemetry,SIM-BROWSER-006,Agentic browsing is a net-new attack surface for the browser plane.
TC-AEPS-04,UC-AEPS,UCS-AEPS-02,Agentic Endpoint Security,Agentic Supply-Chain Compromise,Validate detection of typosquat or malicious MCP server installation on an agentic endpoint,Detection Accuracy,>90%,XSIAM (XQL: dataset=xdr_data),SIM-KOI-001,UC-AEPS holds the correct SKU but carries no threat test cases.
TC-AEPS-05,UC-AEPS,UCS-AEPS-02,Agentic Endpoint Security,Agentic Supply-Chain Compromise,Validate detection of malicious packages and extensions consumed by developer or agent tooling,Detection Accuracy,>90%,XSIAM (XQL: dataset=xdr_data),SIM-KOI-003,"TC-SCA-01 scores known CVEs in dependencies, not deliberately malicious packages."
TC-AEPS-06,UC-AEPS,UCS-AEPS-03,Agentic Endpoint Security,MCP Runtime Trust Boundary,Validate detection of MCP tool-response poisoning and runtime instruction injection,Detection Accuracy,>85%,XSIAM (XQL: dataset=xdr_data),SIM-KOI-006,The connect-time versus runtime trust gap (CVE-2025-49596/-54136) is not indexed.
TC-AEPS-07,UC-AEPS,UCS-AEPS-03,Agentic Endpoint Security,MCP Runtime Trust Boundary,Demonstrate detection of MCP sampling abuse for quota theft and covert tasking,Detection Accuracy,>85%,XSIAM (XQL: dataset=xdr_data),SIM-KOI-007,Server-initiated inference inverts the client/server trust assumption.
TC-AEPS-08,UC-AEPS,UCS-AEPS-02,Agentic Endpoint Security,Self-Propagating Package Worm,Validate detection of self-replicating package worms via install-hook process behavior,Detection Accuracy,>90%,XSIAM (XQL: dataset=xdr_data),SIM-KOI-008,"Shai-Hulud-class worms propagate through install hooks, not through a CVE."
