tc_sheet,tc_id,uc_id,ucs_id,use_case,scenario,test_case_title,test_case_description,validation_methodology,success_criteria,primary_kpi,threshold,measurement_method,detection_source,simulation_input,expected_signal,tool_script_ref,pre_req_setup,moat_classification,differentiation_tier,products,product_addon,execution_complexity,est_pov_duration,status
SecOps,TC-IR-01,UC-IR,UCS-IR-01,Incident Response,Analyst Fatigue / Alert Overload,Validate auto-triage reduces manual alert review by >60% using smart scoring and grouping,"Runs a mixed benign/malicious alert corpus through auto-triage and measures what share closes without a human touch, confirming SmartScore ranks true positives above noise and that analyst overrides feed back into the scoring model rather than being discarded.",AI Triage Accuracy,Auto-triage correctly classifies >60% of test alert volume; SmartScore ranks known-malicious incidents higher than benign; analyst override feedback loop functions correctly,Triage Automation Rate,>60%,Inspect XSIAM UI / query XQL dataset for ai triage accuracy; compare to expected baseline,XSIAM Incidents (XQL: dataset=incidents),"Inject synthetic alert volume (500–1,000 alerts mixing Atomic Red Team T1059 / T1021 with benign noise)",Auto-triage correctly classifies >60% of test alert volume,pov-scripts/secops/ir/tc-ir-01.md,"TBD — confirm tenant state, agent version, Broker VM config",AI-Native,MOAT,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-IR-02,UC-IR,UCS-IR-01,Incident Response,Analyst Fatigue / Alert Overload,Demonstrate issue grouping consolidates related alerts into unified incidents,"Fires a multi-stage attack that produces independent alerts from several sensors, then measures the collapse ratio into unified incidents — the point being that grouping preserves the causal chain rather than merely deduplicating on a shared indicator.",Alert Consolidation Accuracy,Related alerts from multiple sources group into unified incidents; grouping reduces apparent alert count by >80%; grouped incidents contain complete causal context,Detection Accuracy,>80%,Inspect XSIAM UI / query XQL dataset for alert consolidation accuracy; compare to expected baseline,XSIAM UI + XQL,"Inject synthetic alert volume (500–1,000 alerts mixing Atomic Red Team T1059 / T1021 with benign noise)",Related alerts from multiple sources group into unified incidents,pov-scripts/secops/ir/tc-ir-02.md,"TBD — confirm tenant state, agent version, Broker VM config",AI-Native,MOAT,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-IR-03,UC-IR,UCS-IR-01,Incident Response,Analyst Fatigue / Alert Overload,Validate case scoring prioritization against simulated alert volume (1000+ alerts/day),"Drives a synthetic 1,000-alert/day load and inspects the resulting priority queue for stability across repeated runs, testing whether the score is a reproducible, explainable ranking an analyst can defend rather than an opaque number that reshuffles on every refresh.",Prioritization Accuracy,SmartScore correctly ranks critical threats above low-risk noise; priority ordering consistent across repeated test runs; scoring transparent and explainable to analyst,Detection Accuracy,Qualitative pass,Inspect XSIAM UI / query XQL dataset for prioritization accuracy; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Analyst Fatigue / Alert Overload,SmartScore correctly ranks critical threats above low-risk noise,pov-scripts/secops/ir/tc-ir-03.md,"TBD — confirm tenant state, agent version, Broker VM config",AI-Native,MOAT,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-IR-04,UC-IR,UCS-IR-02,Incident Response,Detection Delays / Missed Threats,Validate analytics detection rules trigger on simulated lateral movement patterns,"Simulates east-west movement — remote service creation, SMB/WMI execution, credential reuse — and records where in the kill chain the first analytics detection lands, verifying authentication and network telemetry are joined so benign admin activity is suppressed before the alert reaches the queue.",Detection Timing,Lateral movement patterns detected early in attack chain; authentication + network correlation reduces false positives; automated containment recommendations generated,Cross-Source Correlation Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for detection timing; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Detection Delays / Missed Threats,Lateral movement patterns detected early in attack chain,pov-scripts/secops/ir/tc-ir-04.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-IR-05,UC-IR,UCS-IR-02,Incident Response,Detection Delays / Missed Threats,Demonstrate correlation-based detections across endpoint + network + identity telemetry,"Constructs a threat whose telemetry fragments are individually unremarkable — a normal process, a normal session, a normal login — and confirms a single alert still fires from their joint pattern, evidence that correlation happens in the data layer rather than by stacking siloed product alerts.",Cross-Domain Detection,Correlation-based detections across endpoint + network produce unified alerts; cross-source detections catch threats invisible to individual data sources; alert context includes all contributing telemetry,Cross-Source Correlation Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for cross-domain detection; compare to expected baseline,XSIAM UI + XQL,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),Correlation-based detections across endpoint + network produce unified alerts,pov-scripts/secops/ir/tc-ir-05.md,"TBD — confirm tenant state, agent version, Broker VM config",Platform,MOAT,"XSIAM, XDR",,High,1 day,Active
SecOps,TC-IR-06,UC-IR,UCS-IR-03,Incident Response,Slow Time to Resolution,Validate malware auto-containment isolates compromised endpoint within SLA threshold,"Detonates known malware families and clocks the interval from execution attempt to endpoint isolation against the SLA, checking that prevention fires pre-execution where possible and that containment does not overreach into quarantining legitimate binaries.",Detection Accuracy,Known malware families detected across all test methods; detection occurs pre-execution preventing compromise; false positive rate within threshold per detection method,False Positive Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for detection accuracy; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Slow Time to Resolution,Known malware families detected across all test methods,pov-scripts/secops/ir/tc-ir-06.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-IR-07,UC-IR,UCS-IR-03,Incident Response,Slow Time to Resolution,Demonstrate automated eradication and recovery playbook execution end-to-end,"Executes eradication and recovery playbooks against the customer's top five incident types, measuring how much of each run completes hands-off and reducing analyst involvement to explicit decision gates, with per-incident-type time savings captured for the business case.",Automation Accuracy,Playbooks automate top 5 incident types correctly; analyst involvement limited to decision points; measured time savings documented per incident type,Automation Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for automation accuracy; compare to expected baseline,XSIAM UI + XQL,Trigger incident matching automated playbook conditions; measure playbook completion,Playbooks automate top 5 incident types correctly,pov-scripts/secops/ir/tc-ir-07.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-IR-08,UC-IR,UCS-IR-04,Incident Response,Disconnected Data Sources / Visibility Gaps,Validate ingestion and normalization of 3+ heterogeneous data sources via Broker VM,"Onboards three structurally dissimilar log sources through the Broker VM and confirms each maps cleanly into the common data model — same field semantics, no lossy truncation — so one XQL query spans all three without source-specific rewrites.",Data Normalization Accuracy,Heterogeneous data sources ingest and normalize into unified data model; normalized data queryable via XQL; data fidelity maintained through normalization,Detection Accuracy,Qualitative pass,Inspect XSIAM UI / query XQL dataset for data normalization accuracy; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Disconnected Data Sources / Visibility Gaps,Heterogeneous data sources ingest and normalize into unified data model,pov-scripts/secops/ir/tc-ir-08.md,"TBD — confirm tenant state, agent version, Broker VM config",Platform,MOAT,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-IR-13,UC-IR,UCS-IR-04,Incident Response,Disconnected Data Sources / Visibility Gaps,Demonstrate issue grouping stitches alerts across disparate sources into single incident,"Generates concurrent alerts in endpoint, network, and third-party tooling from a single intrusion and confirms they land as one incident rather than three queues, demonstrating stitching keyed on shared entities and causality rather than on vendor-native alert IDs.",Alert Consolidation Accuracy,Related alerts from multiple sources group into unified incidents; grouping reduces apparent alert count by >80%; grouped incidents contain complete causal context,Detection Accuracy,>80%,Inspect XSIAM UI / query XQL dataset for alert consolidation accuracy; compare to expected baseline,XSIAM UI + XQL,"Inject synthetic alert volume (500–1,000 alerts mixing Atomic Red Team T1059 / T1021 with benign noise)",Related alerts from multiple sources group into unified incidents,pov-scripts/secops/ir/tc-ir-13.md,"TBD — confirm tenant state, agent version, Broker VM config",AI-Native,MOAT,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-IR-09,UC-IR,UCS-IR-05,Incident Response,Poor Prioritization / Risk Misalignment,Validate asset risk scoring adjusts incident priority based on asset criticality,"Runs the identical detection against a low-value test host and a business-critical asset, confirming incident priority diverges according to asset criticality and that the resulting score is explainable enough to map onto the customer's own risk register.",Scoring Consistency,Risk scores consistent and explainable across entity types; scoring methodology aligns with organizational risk framework; automated prioritization functions correctly,Automation Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for scoring consistency; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Poor Prioritization / Risk Misalignment,Risk scores consistent and explainable across entity types,pov-scripts/secops/ir/tc-ir-09.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, XDR",,Medium,1–4hr,Active
